id,state,cwa,name,lon,lat,poi_dist_mi,method,polygons,vertices
CAZ229,CA,VEF,"Lower Colorado River Valley",-114.34834,34.28697,8.76,poi,1,277
CAZ230,CA,PSR,"Joshua Tree National Park",-115.81161,33.88587,10.33,poi,1,80
CAZ231,CA,PSR,"Lower Colorado River Valley CA",-114.59401,32.89097,7.05,poi,1,567
CAZ232,CA,PSR,"Imperial County And Eastern Riverside County",-115.46499,33.18537,35.57,poi,1,274
CAZ238,CA,LOX,"Cuyama Valley",-119.68961,34.91915,3.43,poi,1,191
CAZ243,CA,SGX,"San Diego County Coastal Areas",-117.16677,32.81713,5.38,poi,1,1126
CAZ248,CA,SGX,"San Bernardino and Riverside County Valleys - The Inland Empire",-117.29368,33.93452,16.19,poi,1,3616
CAZ250,CA,SGX,"San Diego County Inland Valleys",-116.90571,32.97629,12.35,poi,1,2874
CAZ255,CA,SGX,"San Bernardino County Mountains-Including The Mountain Top And Front Country Ranger Districts Of The San Bernardino National Forest",-116.83348,34.13982,11.25,poi,1,3530
CAZ256,CA,SGX,"Riverside County Mountains-Including The San Jacinto Ranger District Of The San Bernardino National Forest",-116.64864,33.56146,9.27,poi,1,2566
CAZ257,CA,SGX,"Santa Ana Mountains-Including The Trabuco Ranger District of the Cleveland National Forest",-117.37719,33.55029,5.37,poi,1,2356
CAZ258,CA,SGX,"San Diego County Mountains-Including The Palomar And Descanso Ranger Districts of the Cleveland National Forest",-116.40094,32.72395,8.83,poi,1,4976
CAZ260,CA,SGX,"Victor Valley - Apple Valley - Lucerne Valley - Johnson Valley",-117.32641,34.5856,14.75,poi,1,1361
CAZ261,CA,SGX,"Coachella Valley-Including The Palm Springs South Coast Desert District",-116.14631,33.64815,10.3,poi,1,1209
CAZ262,CA,SGX,"San Diego County Deserts-Including The Anza Borrego Desert State Park",-116.2644,33.0778,9.3,poi,1,2713
CAZ265,CA,SGX,"San Gorgonio Pass Near Banning",-116.53768,33.95189,5.59,poi,1,1049
CAZ270,CA,REV,"Surprise Valley California",-120.11184,41.66056,5.85,poi,1,36
CAZ271,CA,REV,"Western Lassen, Eastern Plumas, and Eastern Sierra Counties",-120.98882,40.73383,17.54,poi,1,176
CAZ272,CA,REV,"Greater Lake Tahoe and Truckee Area",-120.07602,39.29346,11.19,poi,1,188
CAZ274,CA,REV,"Southern Mono County",-118.8466,37.82635,18.89,poi,1,393
CAZ278,CA,REV,"Eastern Lassen County",-120.34553,40.91902,18.17,poi,1,63
CAZ280,CA,MFR,"Western Klamath National Forest",-122.94904,41.43604,16.18,poi,1,1231
CAZ281,CA,MFR,"Central Siskiyou County Including Shasta Valley",-122.59846,41.81876,12.89,poi,1,60
CAZ282,CA,MFR,"Shasta-Trinity National Forest in Siskiyou County",-122.3038,41.29624,7.44,poi,1,123
CAZ284,CA,MFR,"Siskiyou County from the Cascade Mountains East and South to Mt Shasta",-121.89728,41.65905,23.21,poi,1,80
CAZ285,CA,MFR,"Modoc County Except for the Surprise Valley",-120.80128,41.58897,27.96,poi,1,89
CAZ287,CA,LOX,"Catalina and Santa Barbara Islands",-118.41811,33.36655,3.2,poi,4,1060
CAZ288,CA,LOX,"Santa Clarita Valley",-118.51187,34.43142,4.65,poi,1,125
CAZ298,CA,HNX,"Indian Wells Valley",-117.79941,35.60813,9.1,poi,1,37
CAZ299,CA,HNX,"Kern County Desert",-117.92006,35.06281,16.15,poi,1,73
CAZ340,CA,LOX,"San Luis Obispo County Beaches",-120.78393,35.33309,2.44,poi,9,1743
CAZ341,CA,LOX,"San Luis Obispo County Inland Central Coast",-120.63797,35.20518,3.44,poi,1,98
CAZ342,CA,LOX,"Santa Lucia Mountains",-120.8554,35.5557,5.97,poi,2,99
CAZ343,CA,LOX,"Southern Salinas Valley",-120.66203,35.69173,5.63,poi,1,50
CAZ344,CA,LOX,"San Luis Obispo County Interior Valleys",-120.34606,35.56641,9.11,poi,1,119
CAZ345,CA,LOX,"San Luis Obispo County Mountains",-120.38842,35.33909,5.93,poi,1,315
CAZ346,CA,LOX,"Santa Barbara County Central Coast Beaches",-120.51842,34.6649,3.73,poi,1,523
CAZ347,CA,LOX,"Santa Barbara County Inland Central Coast",-120.29641,34.64784,6.97,poi,1,73
CAZ348,CA,LOX,"Santa Ynez Valley",-120.07004,34.64002,5.23,poi,1,73
CAZ349,CA,LOX,"Santa Barbara County Southwestern Coast",-120.42034,34.50679,3.66,poi,2,1174
CAZ350,CA,LOX,"Santa Barbara County Southeastern Coast",-119.85513,34.44463,2.28,poi,1,141
CAZ351,CA,LOX,"Santa Ynez Mountains Western Range",-119.98061,34.52465,2.08,poi,1,744
CAZ352,CA,LOX,"Santa Ynez Mountains Eastern Range",-119.44814,34.4488,2.45,poi,1,36
CAZ353,CA,LOX,"Santa Barbara County Interior Mountains",-119.66331,34.68364,11.4,poi,1,199
CAZ354,CA,LOX,"Ventura County Beaches",-119.18341,34.20003,2.45,poi,6,597
